openalex_id,title,doi,publication_year,publication_date,type,cited_by_count,is_open_access,primary_location_source,first_author,all_authors,institutions,topics,keywords,abstract_inverted_index,url
https://openalex.org/W2803760365,Artificial intelligence in radiology,https://doi.org/10.1038/s41568-018-0016-5,2018,2018-05-17,review,3240,True,Nature reviews. Cancer,Ahmed Hosny,Ahmed Hosny; Chintan Parmar; John Quackenbush; Lawrence H. Schwartz; Hugo J.W.L. Aerts,Columbia University; Dana-Farber Cancer Institute; Harvard University,Radiomics and Machine Learning in Medical Imaging; AI in cancer detection; Lung Cancer Diagnosis and Treatment,Pace; Computer science; Convolutional neural network; Deep learning; Artificial intelligence; Field (mathematics); Medical imaging; Focus (optics); Perspective (graphical); Domain (mathematical analysis); Data science; Clinical Practice; Medical physics; Radiology; Medicine,No,https://openalex.org/W2803760365
https://openalex.org/W2895763047,Artificial intelligence in healthcare,https://doi.org/10.1038/s41551-018-0305-z,2018,2018-10-05,review,2380,False,Nature Biomedical Engineering,Kun‐Hsing Yu,Kun‐Hsing Yu; Andrew L. Beam; Isaac S. Kohane,Boston Children's Hospital; Harvard University,Artificial Intelligence in Healthcare and Education; Ethics in Clinical Research; Artificial Intelligence in Healthcare,Health care; Applications of artificial intelligence; Artificial intelligence; Data science; Computer science; Big data; Knowledge management; Political science,No,https://openalex.org/W2895763047
https://openalex.org/W2911605224,Artificial intelligence in cancer imaging: Clinical challenges and applications,https://doi.org/10.3322/caac.21552,2019,2019-02-05,review,1700,True,CA A Cancer Journal for Clinicians,Wenya Linda Bi,Wenya Linda Bi; Ahmed Hosny; Matthew B. Schabath; Maryellen L. Giger; Nicolai J. Birkbak; Alireza Mehrtash; Tavis Allison; Omar Arnaout; Christopher Abbosh; Ian F. Dunn; Raymond H. Mak; Rulla M. Tamimi; Clare M. Tempany; Charles Swanton; Udo Hoffmann; Lawrence H. Schwartz; Robert J. Gillies; Raymond Y. Huang; Hugo J.W.L. Aerts,Brigham and Women's Hospital; Columbia University; Dana-Farber Brigham Cancer Center; Dana-Farber Cancer Institute; Harvard University; London Cancer; Maastricht University Medical Centre; Massachusetts General Hospital; Moffitt Cancer Center; NewYork–Presbyterian Hospital; The Francis Crick Institute; University College London; University of British Columbia; University of Chicago,Radiomics and Machine Learning in Medical Imaging; AI in cancer detection; Artificial Intelligence in Healthcare and Education,Medicine; Context (archaeology); Workflow; Generalizability theory; Medical physics; Precision medicine; Disease; Medical imaging; Artificial intelligence; Pathology; Radiology; Computer science; Psychology,Yes,https://openalex.org/W2911605224
https://openalex.org/W4205164650,AI in health and medicine,https://doi.org/10.1038/s41591-021-01614-0,2022,2022-01-01,review,1928,False,Nature Medicine,Pranav Rajpurkar,Pranav Rajpurkar; Emma Chen; Oishi Banerjee; Eric J. Topol,Harvard University; Scripps Research Institute; Stanford University,Artificial Intelligence in Healthcare and Education; COVID-19 diagnosis using AI; Artificial Intelligence in Healthcare,Medicine; Family medicine,No,https://openalex.org/W4205164650
https://openalex.org/W4385490607,Scientific discovery in the age of artificial intelligence,https://doi.org/10.1038/s41586-023-06221-2,2023,2023-08-02,review,1169,False,Nature,Hanchen Wang,Hanchen Wang; Tianfan Fu; Yuanqi Du; Wenhao Gao; Kexin Huang; Ziming Liu; Payal Chandak; Shengchao Liu; Peter Van Katwyk; Andreea Deac; Anima Anandkumar; Karianne J. Bergen; Carla P. Gomes; Shirley Ho; Pushmeet Kohli; Joan Lasenby; Jure Leskovec; Tie‐Yan Liu; Arjun K. Manrai; Debora S. Marks; Bharath Ramsundar; Le Song; Jimeng Sun; Jian Tang; Petar Veličković; Max Welling; Linfeng Zhang; Connor W. Coley; Yoshua Bengio; Marinka Žitnik,Amsterdam University of the Arts; Broad Institute; Brown University; California Institute of Technology; Canadian Institute for Advanced Research; Carnegie Mellon University; Center for Systems Biology; Cornell University; DeepMind (United Kingdom); Flatiron Health (United States); Flatiron Institute; Georgia Institute of Technology; Google (United Kingdom); HEC Montréal; Harvard University; Harvard–MIT Division of Health Sciences and Technology; Massachusetts Institute of Technology; Microsoft (Netherlands); Microsoft Research Asia (China); Mila - Quebec Artificial Intelligence Institute; Mohamed bin Zayed University of Artificial Intelligence; New York University; Princeton University; Stanford University; University of Amsterdam; University of Cambridge; University of Illinois Urbana-Champaign; Université de Montréal,"Cell Image Analysis Techniques; Machine Learning in Materials Science; Genetics, Bioinformatics, and Biomedical Research",Computer science; Data science; Process (computing); Artificial intelligence; Stewardship (theology); Modalities; Generative grammar; Big data; Scientific discovery; Data mining; Cognitive science,No,https://openalex.org/W4385490607
https://openalex.org/W4365143687,Foundation models for generalist medical artificial intelligence,https://doi.org/10.1038/s41586-023-05881-4,2023,2023-04-12,review,1149,True,Nature,Michael Moor,Michael Moor; Oishi Banerjee; Zahra Shakeri Hossein Abad; Harlan M. Krumholz; Jure Leskovec; Eric J. Topol; Pranav Rajpurkar,Harvard University; Public Health Ontario; Scripps Research Institute; Stanford University; University of Toronto; Yale New Haven Hospital; Yale University,Machine Learning in Healthcare; Artificial Intelligence in Healthcare and Education; Radiomics and Machine Learning in Medical Imaging,Computer science; Set (abstract data type); Artificial intelligence; Modalities; Task (project management); Data science; Machine learning,Yes,https://openalex.org/W4365143687
https://openalex.org/W3136552952,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,https://doi.org/10.1038/s41591-020-1034-x,2020,2020-09-01,review,760,True,Nature Medicine,Xiaoxuan Liu,Xiaoxuan Liu; Samantha Cruz Rivera; David Moher; Melanie Calvert; Alastair K. Denniston; An‐Wen Chan; Ara Darzi; Christopher Holmes; Christopher Yau; Hutan Ashrafian; Jonathan J Deeks; Lavinia Ferrante di Ruffano; Livia Faes; Pearse A. Keane; Sebastian J. Vollmer; Aaron Lee; Adrian Jonas; Andre Esteva; Andrew L. Beam; An‐Wen Chan; Maria Beatrice Panico; Cecilia S. Lee; Charlotte Haug; Christopher Kelly; Christopher Yau; Cynthia D. Mulrow; Cyrus Espinoza; John Fletcher; Dina N. Paltoo; Elaine Manna; Gary Price; Gary S. Collins; Hugh Harvey; James Matcham; João Monteiro; M. Khair ElZarrad; Lavinia Ferrante di Ruffano; Luke Oakden‐Rayner; Melissa D. McCradden; Pearse A. Keane; Richard S. Savage; Robert Golub; Rupa Sarkar; Samuel Rowley,American Medical Association; AstraZeneca (United Kingdom); Australian Centre for Robotic Vision; Birmingham Community Healthcare NHS Trust; Bridgepoint (United Kingdom); British Medical Association; Google (United Kingdom); Harvard University; Health Data Research UK; Hospital for Sick Children; Imperial College London; Medical Research Council; Moorfields Eye Hospital; Moorfields Eye Hospital NHS Foundation Trust; NIHR Imperial Biomedical Research Centre; National Institute for Health and Care Excellence; National Institutes of Health; Ottawa Hospital; Ottawa Hospital Research Institute; Salesforce (United States); The Alan Turing Institute; The Nature Conservancy; The Patients Association; United States Food and Drug Administration; University College London; University Hospitals Birmingham NHS Foundation Trust; University of Birmingham; University of Lucerne; University of Oxford; University of Toronto; University of Washington; Women's College Hospital,"Artificial Intelligence in Healthcare and Education; Meta-analysis and systematic reviews; Health Systems, Economic Evaluations, Quality of Life",Consolidated Standards of Reporting Trials; Psychological intervention; Checklist; Clinical trial; Delphi method; Medicine; Protocol (science); Guideline; Artificial intelligence; Computer science; Alternative medicine; Psychology; Nursing; Pathology,No,https://openalex.org/W3136552952
https://openalex.org/W3209901185,The false hope of current approaches to explainable artificial intelligence in health care,https://doi.org/10.1016/s2589-7500(21)00208-9,2021,2021-10-25,review,1026,True,The Lancet Digital Health,Marzyeh Ghassemi,Marzyeh Ghassemi; Luke Oakden‐Rayner; Andrew L. Beam,Australian Centre for Robotic Vision; Harvard University; Massachusetts Institute of Technology; The University of Adelaide; Vector Institute,Explainable Artificial Intelligence (XAI); Artificial Intelligence in Healthcare and Education; Machine Learning in Healthcare,Transparency (behavior); Argument (complex analysis); Process (computing); Black box; Computer science; Workforce; Health care; Artificial intelligence; Psychology; Risk analysis (engineering); Medicine; Political science; Computer security; Law,Yes,https://openalex.org/W3209901185
https://openalex.org/W3035286874,Ethical and legal challenges of artificial intelligence-driven healthcare,https://doi.org/10.1016/b978-0-12-818438-7.00012-5,2020,2020-01-01,book-chapter,803,True,Elsevier eBooks,Sara Gerke,Sara Gerke; Timo Minssen; Glenn Cohen,Harvard University; Harvard University Press; University of Copenhagen,Artificial Intelligence in Healthcare and Education; Ethics in Clinical Research; Ethics and Social Impacts of AI,Transparency (behavior); Section (typography); Engineering ethics; Liability; Health care; Intellectual property; Political science; Public relations; Psychology; Law; Business; Engineering,No,https://openalex.org/W3035286874
https://openalex.org/W3136960503,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,https://doi.org/10.1038/s41591-020-1037-7,2020,2020-09-01,review,473,True,Nature Medicine,Samantha Cruz Rivera,Samantha Cruz Rivera; Xiaoxuan Liu; An‐Wen Chan; Alastair K. Denniston; Melanie Calvert; Ara Darzi; Christopher Holmes; Christopher Yau; David Moher; Hutan Ashrafian; Jonathan J Deeks; Lavinia Ferrante di Ruffano; Livia Faes; Pearse A. Keane; Sebastian J. Vollmer; Aaron Lee; Adrian Jonas; Andre Esteva; Andrew L. Beam; Maria Beatrice Panico; Cecilia S. Lee; Charlotte Haug; Christophe J. Kelly; Christopher Yau; Cynthia D. Mulrow; Cyrus Espinoza; John Fletcher; David Moher; Dina N. Paltoo; Elaine Manna; Gary Price; Gary S. Collins; Hugh Harvey; James Matcham; João Monteiro; M. Khair ElZarrad; Lavinia Ferrante di Ruffano; Luke Oakden‐Rayner; Melissa D. McCradden; Pearse A. Keane; Richard S. Savage; Robert Golub; Rupa Sarkar; Samuel Rowley,American Medical Association; AstraZeneca (United Kingdom); Australian Centre for Robotic Vision; Birmingham Community Healthcare NHS Trust; Bridgepoint (United Kingdom); British Medical Association; Google (United Kingdom); Harvard University; Hospital for Sick Children; Imperial College London; Medical Research Council; NIHR Imperial Biomedical Research Centre; National Institute for Health and Care Excellence; National Institutes of Health; Ottawa Hospital; Ottawa Hospital Research Institute; Salesforce (United States); The Alan Turing Institute; The Nature Conservancy; The Patients Association; United States Food and Drug Administration; University of Birmingham; University of Lucerne; University of Oxford; University of Washington; Women's College Hospital,Artificial Intelligence in Healthcare and Education; Meta-analysis and systematic reviews; Radiomics and Machine Learning in Medical Imaging,Extension (predicate logic); Psychological intervention; Clinical trial; Medicine; Computer science; Intensive care medicine; Artificial intelligence; Pathology; Psychiatry; Programming language,No,https://openalex.org/W3136960503
